TCA Port #3
Sensor 1 initialized successfully
TCA Port #4
Sensor 2 initialized successfully
TCA Port #5
Sensor 3 initialized successfully
TCA Port #6
Sensor 4 initialized successfully
TCA Port #7
Sensor 5 initialized successfully
ToF addresses set
TOF Init Successful
Starting motor calibration...
Percentage, LB_RPS, RB_RPS, LF_RPS, RF_RPS
5.00,   0.00,   0.00,   0.00,   0.00
6.00, 389.60, 414.40, 269.60, 326.40
7.00, 449.60, 480.80, 348.80, 399.20
8.00, 491.20, 519.20, 406.40, 440.80
9.00, 529.60, 563.20, 457.60, 485.60
10.00, 588.80, 625.60, 528.00, 547.20
11.00, 627.20, 668.80, 563.20, 592.80
12.00, 669.60, 706.40, 615.20, 629.60
13.00, 728.00, 765.60, 668.00, 696.80
14.00, 765.60, 807.20, 707.20, 738.40
15.00, 808.00, 846.40, 762.40, 781.60
16.00, 808.80, 848.80, 757.60, 780.00
17.00, 850.40, 892.00, 803.20, 827.20
18.00, 912.00, 956.00, 869.60, 894.40
19.00, 956.80, 997.60, 883.20, 935.20
20.00, 996.00, 1041.60, 937.60, 972.00
21.00, 1052.00, 1103.20, 1005.60, 1035.20
22.00, 1093.60, 1141.60, 1053.60, 1076.80
23.00, 1133.60, 1186.40, 1108.80, 1117.60
24.00, 1198.40, 1249.60, 1180.00, 1180.80
25.00, 1237.60, 1294.40, 1233.60, 1226.40
26.00, 1279.20, 1335.20, 1265.60, 1271.20
27.00, 1280.80, 1336.80, 1249.60, 1271.20
28.00, 1341.60, 1405.60, 1329.60, 1332.00
29.00, 1376.80, 1451.20, 1330.40, 1374.40
30.00, 1431.20, 1494.40, 1393.60, 1420.00
31.00, 1484.00, 1537.60, 1440.80, 1459.20
32.00, 1549.60, 1604.00, 1507.20, 1523.20
33.00, 1590.40, 1645.60, 1552.00, 1567.20
34.00, 1633.60, 1687.20, 1599.20, 1610.40
35.00, 1700.00, 1755.20, 1662.40, 1667.20
36.00, 1744.00, 1796.80, 1701.60, 1714.40
37.00, 1744.80, 1793.60, 1703.20, 1716.80
38.00, 1783.20, 1836.80, 1751.20, 1754.40
39.00, 1846.40, 1904.00, 1801.60, 1816.80
40.00, 1888.00, 1950.40, 1842.40, 1859.20
41.00, 1928.80, 1992.00, 1884.80, 1904.00
42.00, 1972.80, 2034.40, 1929.60, 1944.80
43.00, 2034.40, 2097.60, 2000.00, 2008.00
44.00, 2074.40, 2146.40, 2032.80, 2049.60
45.00, 2112.00, 2188.80, 2072.80, 2094.40
46.00, 2174.40, 2256.00, 2144.80, 2158.40
47.00, 2214.40, 2301.60, 2190.40, 2199.20
48.00, 2216.00, 2304.00, 2180.00, 2200.00
49.00, 2257.60, 2346.40, 2225.60, 2243.20
50.00, 2320.00, 2413.60, 2290.40, 2306.40
51.00, 2363.20, 2455.20, 2324.80, 2345.60
52.00, 2404.80, 2504.00, 2373.60, 2387.20
53.00, 2464.00, 2572.80, 2435.20, 2444.80
54.00, 2505.60, 2622.40, 2467.20, 2491.20
55.00, 2550.40, 2664.80, 2504.80, 2528.00
56.00, 2593.60, 2711.20, 2544.00, 2572.00
57.00, 2652.00, 2777.60, 2601.60, 2638.40
58.00, 2692.00, 2826.40, 2672.00, 2680.00
59.00, 2697.60, 2828.80, 2663.20, 2685.60
60.00, 2736.80, 2872.80, 2696.80, 2724.80
61.00, 2802.40, 2940.80, 2768.00, 2786.40
62.00, 2845.60, 2989.60, 2818.40, 2830.40
63.00, 2886.40, 3033.60, 2864.00, 2874.40
64.00, 2951.20, 3096.80, 2924.80, 2936.80
65.00, 2991.20, 3142.40, 2970.40, 2980.80
66.00, 3035.20, 3185.60, 3012.80, 3027.20
67.00, 3075.20, 3232.00, 3052.80, 3070.40
68.00, 3138.40, 3299.20, 3116.80, 3131.20
69.00, 3141.60, 3302.40, 3121.60, 3126.40
70.00, 3178.40, 3346.40, 3157.60, 3167.20
71.00, 3215.20, 3393.60, 3203.20, 3208.00
72.00, 3280.80, 3457.60, 3264.80, 3269.60
73.00, 3326.40, 3500.80, 3304.00, 3317.60
74.00, 3366.40, 3544.80, 3333.60, 3362.40
75.00, 3428.00, 3610.40, 3396.00, 3432.00
76.00, 3471.20, 3656.80, 3434.40, 3472.00
77.00, 3514.40, 3703.20, 3469.60, 3516.00
78.00, 3573.60, 3761.60, 3533.60, 3585.60
79.00, 3612.80, 3800.80, 3572.00, 3626.40
80.00, 3617.60, 3810.40, 3583.20, 3619.20
81.00, 3656.00, 3857.60, 3624.00, 3670.40
82.00, 3702.40, 3900.80, 3669.60, 3716.00
83.00, 3760.80, 3964.80, 3733.60, 3784.00
84.00, 3804.80, 4012.00, 3768.00, 3827.20
85.00, 3845.60, 4056.00, 3806.40, 3876.00
86.00, 3906.40, 4124.80, 3870.40, 3936.00
87.00, 3951.20, 4168.00, 3916.80, 3978.40
88.00, 3992.00, 4212.80, 3964.00, 4020.80
89.00, 4056.80, 4279.20, 4016.00, 4088.00
90.00, 4095.20, 4327.20, 4069.60, 4132.80
-5.00,   0.00,   0.00,   0.00,   0.00
-6.00, 463.20, 460.00, 374.40, 362.40
-7.00, 512.00, 509.60, 434.40, 435.20
-8.00, 558.40, 553.60, 500.00, 480.80
-9.00, 619.20, 614.40, 570.40, 555.20
